ID,Attribute,Value
1823,Screen dots,"235,000"
1823,Max shutter speed,1/4000 sec
1823,Storage types,Compact Flash Type I or II
1823,USB,USB 1.0 (1.5 Mbit/sec)
1823,Weight (inc. batteries),910 g (2.01 lb / 32.10 oz)
1823,Dimensions,136 x 87 x 79 mm (5.35 x 3.43 x 3.11″)
1824,Body type,Mid-size SLR
1824,Max resolution,3008 x 2008
1824,Effective pixels,6 megapixels
1824,Sensor size,APS-C (23.5 x 15.7 mm)
1824,Sensor type,CCD
1824,ISO,"Auto, 200, 400, 800, 1600, 3200"
1824,Lens mount,Pentax KAF
1824,Focal length mult.,1.5×
1824,Articulated LCD,No
1824,Screen size,2.5″
1824,Screen dots,"210,000"
1824,Max shutter speed,1/4000 sec
1824,Storage types,SD/MMC card
1824,USB,USB 1.0 (1.5 Mbit/sec)
1824,Weight (inc. batteries),565 g (1.25 lb / 19.93 oz)
1824,Dimensions,125 x 93 x 66 mm (4.92 x 3.66 x 2.6″)
1824,GPS,None
1825,Body type,Mid-size SLR
1825,Max resolution,3504 x 2336
1825,Effective pixels,8 megapixels
1825,Sensor size,APS-C (22.5 x 15 mm)
1825,Sensor type,CMOS
1825,ISO,"100, 200, 400, 800, 1600, 3200 (H)"
1825,Lens mount,Canon EF/EF-S
1825,Focal length mult.,1.6×
1825,Screen size,1.8″
1825,Screen dots,"118,000"
1825,Max shutter speed,1/8000 sec
1825,Storage types,Compact Flash (Type I or II)
1825,USB,USB 2.0 (480 Mbit/sec)
1825,Weight (inc. batteries),770 g (1.70 lb / 27.16 oz)
1825,Dimensions,144 x 106 x 72 mm (5.67 x 4.17 x 2.83″)
1826,Body type,Compact
1826,Max resolution,2592 x 1935
1826,Effective pixels,5 megapixels
1826,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1826,Sensor type,CCD
1826,ISO,"Auto, 50, 100, 200, 400"
1826,Focal length (equiv.),36–180 mm
1826,Max aperture,F2.8–8
1826,Screen size,2″
1826,Screen dots,"153,600"
1826,Max shutter speed,1/2000 sec
1826,Storage types,"SD card, Internal"
1826,USB,USB 1.0 (1.5 Mbit/sec)
1826,Weight (inc. batteries),190 g (0.42 lb / 6.70 oz)
1826,Dimensions,91 x 30 x 57 mm (3.58 x 1.18 x 2.24″)
1827,Body type,Compact
1827,Max resolution,2592 x 1935
1827,Effective pixels,5 megapixels
1827,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1827,Sensor type,CCD
1827,ISO,"Auto, 50, 100, 200, 400"
1827,Focal length (equiv.),36–180 mm
1827,Max aperture,F2.8–8
1827,Screen size,2″
1827,Screen dots,"153,600"
1827,Max shutter speed,1/2000 sec
1827,Storage types,"SD card, Internal"
1827,USB,USB 1.0 (1.5 Mbit/sec)
1827,Weight (inc. batteries),190 g (0.42 lb / 6.70 oz)
1827,Dimensions,91 x 30 x 57 mm (3.58 x 1.18 x 2.24″)
1828,Body type,Ultracompact
1828,Max resolution,2595 x 1944
1828,Effective pixels,5 megapixels
1828,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1828,Sensor type,CCD
1828,ISO,"Auto, 100, 200, 400"
1828,Focal length (equiv.),39–117 mm
1828,Max aperture,F3.5–4.5
1828,Screen size,2.5″
1828,Screen dots,"230,000"
1828,Max shutter speed,1/2000 sec
1828,Storage types,"SD/MMC card, Internal"
1828,USB,USB 1.0 (1.5 Mbit/sec)
1828,Weight (inc. batteries),155 g (0.34 lb / 5.47 oz)
1828,Dimensions,90 x 60 x 17 mm (3.54 x 2.36 x 0.67″)
1829,Body type,Compact
1829,Max resolution,2592 x 1944
1829,Effective pixels,5 megapixels
1829,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1829,Sensor type,CCD
1829,ISO,Auto (50 - 250)
1829,Focal length (equiv.),36.7–35 mm
1829,Max aperture,F2.8
1829,Screen size,1.5″
1829,Screen dots,"85,000"
1829,Max shutter speed,1/1500 sec
1829,Storage types,xD Picture Card
1829,USB,USB 1.0 (1.5 Mbit/sec)
1829,Weight (inc. batteries),140 g (0.31 lb / 4.94 oz)
1829,Dimensions,101 x 52 x 35 mm (3.98 x 2.05 x 1.38″)
1830,Body type,Ultracompact
1830,Max resolution,2592 x 1944
1830,Effective pixels,5 megapixels
1830,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1830,Sensor type,CCD
1830,ISO,Auto
1830,Focal length (equiv.),35–105 mm
1830,Max aperture,F3–5.4
1830,Screen size,2.5″
1830,Screen dots,"110,000"
1830,Storage types,"SD/MMC card, Internal"
1830,USB,USB 1.0 (1.5 Mbit/sec)
1830,Weight (inc. batteries),160 g (0.35 lb / 5.64 oz)
1830,Dimensions,92 x 59 x 22 mm (3.62 x 2.32 x 0.87″)
1831,Body type,Ultracompact
1831,Max resolution,2569 x 1929
1831,Effective pixels,5 megapixels
1831,Sensor type,CCD
1831,ISO,"Auto, 80, 100, 200, 400, 800"
1831,Focal length (equiv.),36–108 mm
1831,Max aperture,F2.8–4.8
1831,Screen size,2″
1831,Screen dots,"230,000"
1831,Max shutter speed,1/1448 sec
1831,Storage types,"SD/MMC card, Internal"
1831,USB,USB 1.0 (1.5 Mbit/sec)
1831,Weight (inc. batteries),150 g (0.33 lb / 5.29 oz)
1831,Dimensions,92 x 50 x 22 mm (3.62 x 1.97 x 0.87″)
1832,Body type,Ultracompact
1832,Max resolution,2569 x 1929
1832,Effective pixels,5 megapixels
1832,Sensor type,CCD
1832,ISO,"Auto, 80, 100, 200, 400, 800"
1832,Focal length (equiv.),36–108 mm
1832,Max aperture,F2.8–4.8
1832,Screen size,2.5″
1832,Screen dots,"230,000"
1832,Max shutter speed,1/1448 sec
1832,Storage types,"SD/MMC card, Internal"
1832,USB,USB 1.0 (1.5 Mbit/sec)
1832,Weight (inc. batteries),160 g (0.35 lb / 5.64 oz)
1832,Dimensions,94 x 56 x 22 mm (3.7 x 2.2 x 0.87″)
1833,Body type,Ultracompact
1833,Max resolution,2560 x 1920
1833,Effective pixels,5 megapixels
1833,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1833,Sensor type,CCD
1833,ISO,"Auto, 50, 100, 200, 400"
1833,Focal length (equiv.),36–180 mm
1833,Max aperture,F2.8–4.7
1833,Screen size,1.8″
1833,Screen dots,"118,000"
1833,Max shutter speed,1/2000 sec
1833,Storage types,SD/MMC card
1833,USB,USB 1.0 (1.5 Mbit/sec)
1833,Weight (inc. batteries),165 g (0.36 lb / 5.82 oz)
1833,Dimensions,91 x 56 x 28 mm (3.58 x 2.2 x 1.1″)
1834,Body type,Compact
1834,Max resolution,3264 x 2448
1834,Effective pixels,8 megapixels
1834,Sensor size,"1/1.8"" (7.144 x 5.358 mm)"
1834,Sensor type,CCD
1834,ISO,"Auto, 64, 100, 200, 250, 400, 500, 800, 1600"
1834,Focal length (equiv.),38–114 mm
1834,Max aperture,F2.8–4.9
1834,Screen size,2.5″
1834,Screen dots,"215,000"
1834,Max shutter speed,1/2000 sec
1834,Storage types,"xD Picture Card, Internal"
1834,USB,USB 1.0 (1.5 Mbit/sec)
1834,Weight (inc. batteries),200 g (0.44 lb / 7.05 oz)
1834,Dimensions,103 x 58 x 33 mm (4.06 x 2.28 x 1.3″)
1835,Body type,Ultracompact
1835,Max resolution,2560 x 1920
1835,Effective pixels,5 megapixels
1835,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1835,Sensor type,CCD
1835,ISO,"Auto, 80, 100, 200, 400"
1835,Focal length (equiv.),35.6–107 mm
1835,Max aperture,F2.6–4.8
1835,Screen size,2.5″
1835,Screen dots,"115,000"
1835,Max shutter speed,1/2000 sec
1835,Storage types,"SD/MMC card, Internal"
1835,USB,USB 1.0 (1.5 Mbit/sec)
1835,Weight (inc. batteries),120 g (0.26 lb / 4.23 oz)
1835,Dimensions,83 x 55 x 22 mm (3.27 x 2.17 x 0.87″)
1836,Body type,Ultracompact
1836,Max resolution,2304 x 1728
1836,Effective pixels,4 megapixels
1836,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1836,Sensor type,CCD
1836,ISO,"Auto, 100, 200, 400"
1836,Focal length (equiv.),35.6–107 mm
1836,Max aperture,F2.6–4.8
1836,Screen size,2.5″
1836,Screen dots,"115,000"
1836,Max shutter speed,1/2000 sec
1836,Storage types,"SD/MMC card, Internal"
1836,USB,USB 1.0 (1.5 Mbit/sec)
1836,Weight (inc. batteries),155 g (0.34 lb / 5.47 oz)
1836,Dimensions,89 x 59 x 28 mm (3.5 x 2.32 x 1.1″)
1837,Body type,Ultracompact
1837,Max resolution,2560 x 1920
1837,Effective pixels,5 megapixels
1837,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1837,Sensor type,CCD
1837,ISO,"Auto, 50, 100, 200, 400"
1837,Focal length (equiv.),35.6–107 mm
1837,Max aperture,F2.6–4.8
1837,Screen size,2.5″
1837,Screen dots,"115,000"
1837,Max shutter speed,1/2000 sec
1837,Storage types,"SD/MMC card, Internal"
1837,USB,USB 1.0 (1.5 Mbit/sec)
1837,Weight (inc. batteries),155 g (0.34 lb / 5.47 oz)
1837,Dimensions,89 x 59 x 28 mm (3.5 x 2.32 x 1.1″)
1838,Body type,Ultracompact
1838,Max resolution,2560 x 1920
1838,Effective pixels,5 megapixels
1838,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1838,Sensor type,CCD
1838,ISO,Auto (80 - 400)
1838,Focal length (equiv.),35–105 mm
1838,Max aperture,F2.8–5
1838,Screen size,2.5″
1838,Screen dots,"114,000"
1838,Max shutter speed,1/2000 sec
1838,Storage types,SD/MMC card
1838,USB,USB 1.0 (1.5 Mbit/sec)
1838,Weight (inc. batteries),155 g (0.34 lb / 5.47 oz)
1838,Dimensions,94 x 51 x 24 mm (3.7 x 2.01 x 0.94″)
1839,Body type,Ultracompact
1839,Max resolution,2560 x 1920
1839,Effective pixels,5 megapixels
1839,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1839,Sensor type,CCD
1839,ISO,"Auto, 20, 100, 200, 400"
1839,Focal length (equiv.),38–114 mm
1839,Max aperture,F3.3–4
1839,Screen size,2.5″
1839,Screen dots,"115,000"
1839,Max shutter speed,1/1000 sec
1839,Storage types,SD/MMC card
1839,USB,USB 1.0 (1.5 Mbit/sec)
1839,Weight (inc. batteries),185 g (0.41 lb / 6.53 oz)
1839,Dimensions,84 x 56 x 22 mm (3.31 x 2.2 x 0.87″)
1840,Body type,Compact
1840,Max resolution,2872 x 2160
1840,Effective pixels,6 megapixels
1840,Sensor type,CCD
1840,ISO,"Auto, 80, 100, 200, 400, 800"
1840,Focal length (equiv.),39–117 mm
1840,Max aperture,F2.8–4.8
1840,Screen size,2.2″
1840,Screen dots,"153,000"
1840,Max shutter speed,1/1000 sec
1840,Storage types,"SD/MMC card, Internal"
1840,USB,USB 1.0 (1.5 Mbit/sec)
1840,Weight (inc. batteries),259 g (0.57 lb / 9.14 oz)
1840,Dimensions,100 x 69 x 40 mm (3.94 x 2.72 x 1.57″)
1841,Body type,Compact
1841,Max resolution,2336 x 1744
1841,Effective pixels,4 megapixels
1841,Sensor type,CCD
1841,ISO,Auto (100 - 400)
1841,Focal length (equiv.),35 mm
1841,Max aperture,F4.5
1841,Screen size,1.6″
1841,Max shutter speed,1/2000 sec
1841,Storage types,"SD/MMC card, Internal"
1841,USB,USB 1.0 (1.5 Mbit/sec)
1841,Weight (inc. batteries),154 g (0.34 lb / 5.43 oz)
1841,Dimensions,103 x 65 x 35 mm (4.06 x 2.56 x 1.38″)
1842,Body type,Compact
1842,Max resolution,2336 x 1744
1842,Effective pixels,4 megapixels
1842,Sensor type,CCD
1842,ISO,"Auto, (80 - 400)"
1842,Focal length (equiv.),34–102 mm
1842,Max aperture,F2.7–5.2
1842,Screen size,1.5″
1842,Max shutter speed,1/1400 sec
1842,Storage types,"SD/MMC card, Internal"
1842,USB,USB 1.0 (1.5 Mbit/sec)
1842,Weight (inc. batteries),180 g (0.40 lb / 6.35 oz)
1842,Dimensions,91 x 65 x 35 mm (3.58 x 2.56 x 1.38″)
1843,Body type,Compact
1843,Max resolution,2690 x 1994
1843,Effective pixels,5 megapixels
1843,Sensor type,CCD
1843,ISO,Auto (80 - 160)
1843,Focal length (equiv.),34–102 mm
1843,Max aperture,F2.7–5.2
1843,Screen size,2″
1843,Screen dots,"110,000"
1843,Max shutter speed,1/1400 sec
1843,Storage types,"SD/MMC card, Internal"
1843,USB,USB 1.0 (1.5 Mbit/sec)
1843,Weight (inc. batteries),170 g (0.37 lb / 6.00 oz)
1843,Dimensions,84 x 64 x 43 mm (3.31 x 2.52 x 1.69″)
1844,Body type,Compact
1844,Max resolution,2576 x 1944
1844,Effective pixels,5 megapixels
1844,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1844,Sensor type,CCD
1844,ISO,"Auto, 100, 200, 400"
1844,Focal length (equiv.),36–108 mm
1844,Max aperture,F2.8–4.9
1844,Screen size,2″
1844,Screen dots,"130,000"
1844,Max shutter speed,1/2000 sec
1844,Storage types,"SD card, Internal"
1844,USB,USB 1.0 (1.5 Mbit/sec)
1844,Weight (inc. batteries),172 g (0.38 lb / 6.07 oz)
1844,Dimensions,109 x 52 x 37 mm (4.29 x 2.05 x 1.46″)
1845,Body type,Compact
1845,Max resolution,3264 x 2448
1845,Effective pixels,8 megapixels
1845,Sensor size,"1/1.8"" (7.144 x 5.358 mm)"
1845,Sensor type,CCD
1845,ISO,"Auto, 64, 100, 200, 400, 800, 1600"
1845,Focal length (equiv.),28–85 mm
1845,Max aperture,F2.5–4.3
1845,Articulated LCD,No
1845,Screen size,1.8″
1845,Screen dots,"130,000"
1845,Max shutter speed,1/2000 sec
1845,Storage types,"SD/MMC card, Internal"
1845,USB,USB 1.0 (1.5 Mbit/sec)
1845,Weight (inc. batteries),260 g (0.57 lb / 9.17 oz)
1845,Dimensions,114 x 29 x 58 mm (4.49 x 1.14 x 2.28″)
1845,GPS,None
1846,Body type,Compact
1846,Max resolution,2592 x 1944
1846,Effective pixels,5 megapixels
1846,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1846,Sensor type,CCD
1846,ISO,"Auto, 50, 100, 200, 400"
1846,Focal length (equiv.),36–432 mm
1846,Max aperture,F2.7–3.5
1846,Screen size,1.8″
1846,Screen dots,"115,000"
1846,Max shutter speed,1/3200 sec
1846,Storage types,SD/MMC card
1846,USB,USB 2.0 (480 Mbit/sec)
1846,Weight (inc. batteries),505 g (1.11 lb / 17.81 oz)
1846,Dimensions,113 x 78 x 76 mm (4.45 x 3.07 x 2.99″)
1847,Body type,Mid-size SLR
1847,Max resolution,3008 x 2000
1847,Effective pixels,6 megapixels
1847,Sensor size,APS-C (23.7 x 15.5 mm)
1847,Sensor type,CCD
1847,ISO,"Auto, 200 - 1600"
1847,Lens mount,Nikon F
1847,Focal length mult.,1.5×
1847,Screen size,2″
1847,Screen dots,"130,000"
1847,Max shutter speed,1/4000 sec
1847,Storage types,SD card
1847,USB,USB 2.0 (480 Mbit/sec)
1847,Weight (inc. batteries),620 g (1.37 lb / 21.87 oz)
1847,Dimensions,133 x 102 x 76 mm (5.24 x 4.02 x 2.99″)
1848,Body type,Mid-size SLR
1848,Max resolution,3008 x 2000
1848,Effective pixels,6 megapixels
1848,Sensor size,APS-C (23.7 x 15.5 mm)
1848,Sensor type,CCD
1848,ISO,"Auto, 200 - 1600"
1848,Lens mount,Nikon F
1848,Focal length mult.,1.5×
1848,Articulated LCD,No
1848,Screen size,2″
1848,Screen dots,"130,000"
1848,Max shutter speed,1/8000 sec
1848,Storage types,Compact Flash (Type I or II)
1848,USB,USB 1.0 (1.5 Mbit/sec)
1848,Weight (inc. batteries),679 g (1.50 lb / 23.95 oz)
1848,Dimensions,140 x 111 x 78 mm (5.51 x 4.37 x 3.07″)
1848,GPS,None
1849,Body type,Ultracompact
1849,Max resolution,2592 x 1944
1849,Effective pixels,5 megapixels
1849,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1849,Sensor type,CCD
1849,ISO,"Auto, 50, 100, 200, 400"
1849,Focal length (equiv.),35–105 mm
1849,Max aperture,F3–5.4
1849,Screen size,2.5″
1849,Screen dots,"110,000"
1849,Max shutter speed,1/350 sec
1849,Storage types,"SD/MMC card, Internal"
1849,USB,USB 1.0 (1.5 Mbit/sec)
1849,Weight (inc. batteries),170 g (0.37 lb / 6.00 oz)
1849,Dimensions,90 x 58 x 20 mm (3.54 x 2.28 x 0.79″)
1850,Body type,Ultracompact
1850,Max resolution,2592 x 1944
1850,Effective pixels,5 megapixels
1850,Sensor size,"1/2.4"" (6.104 x 4.578 mm)"
1850,Sensor type,CCD
1850,ISO,"Auto, 100, 200, 400"
1850,Focal length (equiv.),38–114 mm
1850,Max aperture,F3.5–4.4
1850,Screen size,2.5″
1850,Screen dots,"230,000"
1850,Max shutter speed,1/1000 sec
1850,Storage types,Memory Stick Duo / Pro Duo
1850,USB,USB 2.0 (480 Mbit/sec)
1850,Weight (inc. batteries),134 g (0.30 lb / 4.73 oz)
1850,Dimensions,92 x 60 x 15 mm (3.62 x 2.36 x 0.59″)
1851,Body type,Ultracompact
1851,Max resolution,2560 x 1920
1851,Effective pixels,5 megapixels
1851,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1851,Sensor type,CCD
1851,ISO,"Auto, 64, 100, 200, 400, 800"
1851,Focal length (equiv.),28–135 mm
1851,Max aperture,F3.3–4.8
1851,Screen size,2.5″
1851,Screen dots,"114,000"
1851,Max shutter speed,1/2000 sec
1851,Storage types,"SD/MMC card, Internal"
1851,USB,USB 1.0 (1.5 Mbit/sec)
1851,Weight (inc. batteries),195 g (0.43 lb / 6.88 oz)
1851,Dimensions,100 x 55 x 25 mm (3.94 x 2.17 x 0.98″)
1852,Body type,Compact
1852,Max resolution,3072 x 2304
1852,Effective pixels,7 megapixels
1852,Sensor size,"1/1.8"" (7.144 x 5.358 mm)"
1852,Sensor type,CCD
1852,ISO,"Auto, 50, 100, 200, 400"
1852,Focal length (equiv.),38–114 mm
1852,Max aperture,F2.8–5.1
1852,Screen size,2″
1852,Screen dots,"118,080"
1852,Max shutter speed,1/2000 sec
1852,Storage types,SD/MMC card
1852,USB,USB 1.0 (1.5 Mbit/sec)
1852,Weight (inc. batteries),220 g (0.49 lb / 7.76 oz)
1852,Dimensions,106 x 57 x 30 mm (4.17 x 2.24 x 1.18″)
1853,Body type,Compact
1853,Max resolution,2096 x 1560
1853,Effective pixels,3 megapixels
1853,Sensor type,CCD
1853,ISO,Auto (100 - 200)
1853,Focal length (equiv.),37 mm
1853,Max aperture,F4.5
1853,Screen size,1.5″
1853,Max shutter speed,1/2300 sec
1853,Storage types,"SD/MMC card, Internal"
1853,USB,USB 1.0 (1.5 Mbit/sec)
1853,Weight (inc. batteries),198 g (0.44 lb / 6.98 oz)
1853,Dimensions,104 x 62 x 40 mm (4.09 x 2.44 x 1.57″)
1854,Body type,Compact
1854,Max resolution,2576 x 1932
1854,Effective pixels,5 megapixels
1854,Sensor type,CCD
1854,ISO,"Auto (80 - 200), 80, 100, 200, 400"
1854,Focal length (equiv.),34–102 mm
1854,Max aperture,F2.7–5.2
1854,Screen size,1.6″
1854,Screen dots,"72,000"
1854,Max shutter speed,1/1400 sec
1854,Storage types,"SD/MMC card, Internal"
1854,USB,USB 1.0 (1.5 Mbit/sec)
1854,Weight (inc. batteries),198 g (0.44 lb / 6.98 oz)
1854,Dimensions,92 x 65 x 35 mm (3.62 x 2.56 x 1.38″)
1855,Body type,Compact
1855,Max resolution,2576 x 1932
1855,Effective pixels,5 megapixels
1855,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1855,Sensor type,CCD
1855,ISO,"Auto, 80, 100, 200, 400"
1855,Focal length (equiv.),33–132 mm
1855,Max aperture,F2.8–4.8
1855,Screen size,2.2″
1855,Screen dots,"153,000"
1855,Max shutter speed,1/1000 sec
1855,Storage types,"SD/MMC card, Internal"
1855,USB,USB 1.0 (1.5 Mbit/sec)
1855,Weight (inc. batteries),270 g (0.60 lb / 9.52 oz)
1855,Dimensions,100 x 69 x 40 mm (3.94 x 2.72 x 1.57″)
1856,Body type,Compact
1856,Max resolution,2576 x 1932
1856,Effective pixels,5 megapixels
1856,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1856,Sensor type,CCD
1856,ISO,"Auto, 80, 100, 200, 400"
1856,Focal length (equiv.),38–380 mm
1856,Max aperture,F2.8–8
1856,Screen size,2.2″
1856,Screen dots,"153,000"
1856,Max shutter speed,1/1000 sec
1856,Storage types,"SD/MMC card, Internal"
1856,USB,USB 1.0 (1.5 Mbit/sec)
1856,Weight (inc. batteries),400 g (0.88 lb / 14.11 oz)
1856,Dimensions,97 x 81 x 80 mm (3.82 x 3.19 x 3.15″)
1857,Body type,Ultracompact
1857,Max resolution,2304 x 1728
1857,Effective pixels,4 megapixels
1857,Sensor size,"1/2.7"" (5.312 x 3.984 mm)"
1857,Sensor type,CCD
1857,ISO,"Auto, 80, 100, 200, 400"
1857,Focal length (equiv.),32–96 mm
1857,Max aperture,F2.8–5.2
1857,Screen size,1.5″
1857,Screen dots,"77,000"
1857,Max shutter speed,1/2000 sec
1857,Format,MPEG VX
1857,Storage types,"Memory Stick / Pro, Internal"
1857,USB,USB 1.0 (1.5 Mbit/sec)
1857,Weight (inc. batteries),184 g (0.41 lb / 6.49 oz)
1857,Dimensions,99 x 52 x 34 mm (3.9 x 2.05 x 1.34″)
1858,Body type,Compact
1858,Max resolution,2304 x 1728
1858,Effective pixels,4 megapixels
1858,Sensor size,"1/2.7"" (5.312 x 3.984 mm)"
1858,Sensor type,CCD
1858,ISO,"Auto, 80, 100, 200, 400"
1858,Focal length (equiv.),39–117 mm
1858,Max aperture,F2.8–5.6
1858,Screen size,2″
1858,Screen dots,"115,000"
1858,Max shutter speed,1/1000 sec
1858,Format,MPEG VX
1858,Storage types,"Memory Stick / Pro, Internal"
1858,USB,USB 1.0 (1.5 Mbit/sec)
1858,Weight (inc. batteries),249 g (0.55 lb / 8.78 oz)
1858,Dimensions,97 x 64 x 40 mm (3.82 x 2.52 x 1.57″)
1859,Body type,Compact
1859,Max resolution,2304 x 1728
1859,Effective pixels,4 megapixels
1859,Sensor size,"1/2.7"" (5.312 x 3.984 mm)"
1859,Sensor type,CCD
1859,ISO,"Auto, 80, 100, 200, 400"
1859,Focal length (equiv.),39–117 mm
1859,Max aperture,F2.8–5.6
1859,Screen size,2.5″
1859,Screen dots,"115,000"
1859,Max shutter speed,1/1000 sec
1859,Format,MPEG VX
1859,Storage types,"Memory Stick / Pro, Internal"
1859,USB,USB 1.0 (1.5 Mbit/sec)
1859,Weight (inc. batteries),253 g (0.56 lb / 8.92 oz)
1859,Dimensions,97 x 64 x 40 mm (3.82 x 2.52 x 1.57″)
1860,Body type,Compact
1860,Max resolution,3072 x 2304
1860,Effective pixels,7 megapixels
1860,Sensor size,"1/1.8"" (7.144 x 5.358 mm)"
1860,Sensor type,CCD
1860,ISO,"Auto, 100, 200, 400"
1860,Focal length (equiv.),38–114 mm
1860,Max aperture,F2.8–5.2
1860,Screen size,2.5″
1860,Screen dots,"115,000"
1860,Max shutter speed,1/1000 sec
1860,Format,MPEG VX
1860,Storage types,"Memory Stick / Pro, Internal"
1860,USB,USB 2.0 (480 Mbit/sec)
1860,Weight (inc. batteries),250 g (0.55 lb / 8.82 oz)
1860,Dimensions,91 x 60 x 36 mm (3.58 x 2.36 x 1.42″)
1861,Body type,Compact
1861,Max resolution,2592 x 1944
1861,Effective pixels,5 megapixels
1861,Sensor size,"1/2.4"" (6.104 x 4.578 mm)"
1861,Sensor type,CCD
1861,ISO,"Auto, 64, 100, 200, 400"
1861,Focal length (equiv.),36–432 mm
1861,Max aperture,F2.8–3.7
1861,Articulated LCD,No
1861,Screen size,2.5″
1861,Screen dots,"115,000"
1861,Max shutter speed,1/1000 sec
1861,Format,MPEG VX
1861,Storage types,"Memory Stick / Pro, Internal"
1861,USB,USB 2.0 (480 Mbit/sec)
1861,Weight (inc. batteries),591 g (1.30 lb / 20.85 oz)
1861,Dimensions,108 x 81 x 92 mm (4.25 x 3.19 x 3.62″)
1861,GPS,None
1862,Body type,Compact
1862,Max resolution,2576 x 1944
1862,Effective pixels,5 megapixels
1862,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1862,Sensor type,CCD
1862,ISO,"Auto, 100, 200, 400"
1862,Focal length (equiv.),36–108 mm
1862,Max aperture,F2.8–4.9
1862,Screen size,1.8″
1862,Screen dots,"130,000"
1862,Max shutter speed,1/2000 sec
1862,Storage types,"SD card, Internal"
1862,USB,USB 1.0 (1.5 Mbit/sec)
1862,Weight (inc. batteries),177 g (0.39 lb / 6.24 oz)
1862,Dimensions,107 x 53 x 36 mm (4.21 x 2.09 x 1.42″)
1863,Body type,Compact
1863,Max resolution,2320 x 1744
1863,Effective pixels,4 megapixels
1863,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1863,Sensor type,CCD
1863,ISO,"Auto, 100, 200, 400"
1863,Focal length (equiv.),36.7 mm
1863,Max aperture,F2.8–6.5
1863,Screen size,1.5″
1863,Screen dots,"61,600"
1863,Max shutter speed,1/1800 sec
1863,Storage types,"SD card, Internal"
1863,USB,USB 1.0 (1.5 Mbit/sec)
1863,Weight (inc. batteries),170 g (0.37 lb / 6.00 oz)
1863,Dimensions,96 x 33 x 49 mm (3.78 x 1.3 x 1.93″)
1864,Body type,Compact
1864,Max resolution,2320 x 1744
1864,Effective pixels,4 megapixels
1864,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1864,Sensor type,CCD
1864,ISO,"Auto, 100, 200, 400"
1864,Focal length (equiv.),36.7 mm
1864,Max aperture,F2.8–6.5
1864,Screen size,1.5″
1864,Screen dots,"61,600"
1864,Max shutter speed,1/1800 sec
1864,Storage types,"SD card, Internal"
1864,USB,USB 1.0 (1.5 Mbit/sec)
1864,Weight (inc. batteries),170 g (0.37 lb / 6.00 oz)
1864,Dimensions,96 x 33 x 49 mm (3.78 x 1.3 x 1.93″)
1865,Body type,Compact
1865,Max resolution,2864 x 2160
1865,Effective pixels,6 megapixels
1865,Sensor size,"1/1.8"" (7.144 x 5.358 mm)"
1865,Sensor type,CCD
1865,ISO,"Auto, 50, 100, 200, 400"
1865,Focal length (equiv.),39–117 mm
1865,Max aperture,F2.8–4.9
1865,Screen size,1.8″
1865,Screen dots,"130,000"
1865,Max shutter speed,1/2000 sec
1865,Storage types,"SD card, Internal"
1865,USB,USB 1.0 (1.5 Mbit/sec)
1865,Weight (inc. batteries),205 g (0.45 lb / 7.23 oz)
1865,Dimensions,96 x 60 x 35 mm (3.78 x 2.36 x 1.38″)
1866,Body type,Ultracompact
1866,Max resolution,2592 x 1944
1866,Effective pixels,5 megapixels
1866,Sensor size,"1/2.5"" (5.744 x 4.308 mm)"
1866,Sensor type,CCD
1866,ISO,"Auto, 50, 100, 200, 400"
1866,Focal length (equiv.),35–105 mm
1866,Max aperture,F2.8–4.9
1866,Screen size,2″
1866,Screen dots,"118,000"
1866,Max shutter speed,1/1500 sec
1866,Storage types,SD card
1866,USB,USB 2.0 (480 Mbit/sec)
1866,Weight (inc. batteries),150 g (0.33 lb / 5.29 oz)
1866,Dimensions,86 x 53 x 21 mm (3.39 x 2.09 x 0.83″)
1867,Body type,Ultracompact
1867,Max resolution,3072 x 2304
1867,Effective pixels,7 megapixels
1867,Sensor size,"1/1.8"" (7.144 x 5.358 mm)"
1867,Sensor type,CCD
1867,ISO,"Auto, 50, 100, 200, 400"
1867,Focal length (equiv.),37–111 mm
1867,Max aperture,F2.8–4.9
1867,Screen size,2″
1867,Screen dots,"118,000"
1867,Max shutter speed,1/2000 sec
1867,Storage types,SD/MMC card
